unit,support_width,locality_index,left_boundary,right_boundary,module,model
83,496,0.7597152734554948,1,496,baseline_features_10,Baseline
84,499,0.8378784109341503,0,498,baseline_features_10,Baseline
85,485,0.7462955980760434,0,484,baseline_features_10,Baseline
86,498,0.7173211977458672,2,499,baseline_features_10,Baseline
87,499,0.8879369184126134,1,499,baseline_features_10,Baseline
88,496,0.8076636253790475,1,496,baseline_features_10,Baseline
89,499,0.8286983785722544,1,499,baseline_features_10,Baseline
90,497,0.6427160723726231,0,496,baseline_features_10,Baseline
91,497,0.6127103126735169,3,499,baseline_features_10,Baseline
92,499,0.8978527188584214,0,498,baseline_features_10,Baseline
93,499,0.8652049978262996,1,499,baseline_features_10,Baseline
94,499,0.7282529683779524,1,499,baseline_features_10,Baseline
95,497,0.7966811619942938,0,496,baseline_features_10,Baseline
96,498,0.8044397227511086,0,497,baseline_features_10,Baseline
97,500,0.8838456404929963,0,499,baseline_features_10,Baseline
98,496,0.6998650260303497,1,496,baseline_features_10,Baseline
99,496,0.6174617302048249,1,496,baseline_features_10,Baseline
100,493,0.6986867576666749,5,497,baseline_features_10,Baseline
101,499,0.8669192983954168,0,498,baseline_features_10,Baseline
102,499,0.7955782647438686,1,499,baseline_features_10,Baseline
103,497,0.7715063042340035,0,496,baseline_features_10,Baseline
104,497,0.7558477309742645,0,496,baseline_features_10,Baseline
105,496,0.5681235263736382,1,496,baseline_features_10,Baseline
106,499,0.8342829268906331,1,499,baseline_features_10,Baseline
107,500,0.7840132103472013,0,499,baseline_features_10,Baseline
108,497,0.6562662152502161,0,496,baseline_features_10,Baseline
109,493,0.7306423236700655,5,497,baseline_features_10,Baseline
110,499,0.9022224872452703,1,499,baseline_features_10,Baseline
111,499,0.7842948556228448,0,498,baseline_features_10,Baseline
112,496,0.8288909871341914,1,496,baseline_features_10,Baseline
113,498,0.8601246117140419,0,497,baseline_features_10,Baseline
114,499,0.8609090366994602,1,499,baseline_features_10,Baseline
115,491,0.6526228482375239,6,496,baseline_features_10,Baseline
116,493,0.6895041623807493,5,497,baseline_features_10,Baseline
117,499,0.8334310552567521,0,498,baseline_features_10,Baseline
118,495,0.787908607951107,4,498,baseline_features_10,Baseline
119,499,0.8576261064136529,0,498,baseline_features_10,Baseline
120,496,0.7149330731291984,1,496,baseline_features_10,Baseline
121,499,0.8206194861402762,0,498,baseline_features_10,Baseline
122,497,0.8920607566374986,0,496,baseline_features_10,Baseline
123,499,0.830212080353488,1,499,baseline_features_10,Baseline
124,496,0.7571845972676235,1,496,baseline_features_10,Baseline
125,499,0.8308593609237374,1,499,baseline_features_10,Baseline
126,499,0.8601365245383358,1,499,baseline_features_10,Baseline
127,485,0.7494059265400504,0,484,baseline_features_10,Baseline
0,499,0.9449217697498025,0,498,baseline_features_6,Baseline
1,500,0.9390563206605864,0,499,baseline_features_6,Baseline
2,500,0.9426728590982048,0,499,baseline_features_6,Baseline
3,498,0.7676948189238034,0,497,baseline_features_6,Baseline
4,499,0.8059284310231168,0,498,baseline_features_6,Baseline
5,495,0.6755368269410102,4,498,baseline_features_6,Baseline
6,496,0.8278816766135877,1,496,baseline_features_6,Baseline
7,499,0.7495427117248761,1,499,baseline_features_6,Baseline
8,495,0.8423542007120529,4,498,baseline_features_6,Baseline
9,499,0.8637562713217667,0,498,baseline_features_6,Baseline
10,499,0.9196279778198484,0,498,baseline_features_6,Baseline
11,500,0.9739806820804935,0,499,baseline_features_6,Baseline
12,498,0.7938575505557133,2,499,baseline_features_6,Baseline
13,499,0.8233800056532965,1,499,baseline_features_6,Baseline
14,500,0.9078517561652626,0,499,baseline_features_6,Baseline
15,499,0.8745147344789845,0,498,baseline_features_6,Baseline
16,496,0.7448547245665881,1,496,baseline_features_6,Baseline
17,498,0.8736960085671434,0,497,baseline_features_6,Baseline
18,499,0.8708421364940528,0,498,baseline_features_6,Baseline
19,493,0.5666989910093121,4,496,baseline_features_6,Baseline
20,499,0.9452483106449385,0,498,baseline_features_6,Baseline
21,500,0.9741207440161769,0,499,baseline_features_6,Baseline
22,499,0.7583108319314801,1,499,baseline_features_6,Baseline
23,498,0.8467814262497817,0,497,baseline_features_6,Baseline
24,499,0.8093844393873294,0,498,baseline_features_6,Baseline
25,497,0.8637363464786008,0,496,baseline_features_6,Baseline
26,500,0.792307783166428,0,499,baseline_features_6,Baseline
27,499,0.8734298563004609,0,498,baseline_features_6,Baseline
28,500,0.8763899008677968,0,499,baseline_features_6,Baseline
