model,rmse,mae,r2
RandomForest,0.6629466524142278,0.4573253942499998,0.6404712848456928
XGBoost,0.6517970022829964,0.4386312889674187,0.6524629292600294
MLP_ReLU,0.6755815925302764,0.4736221618510246,0.6266363490962906
KAN_MLP,0.6515446228117976,0.47587582152972224,0.6527320137777197
