model,rmse,mae,r2
RandomForest,0.5551253970746384,0.38586720779220557,0.9970434895576095
XGBoost,0.3978875080301239,0.27497632247132137,0.9984811396941008
MLP_ReLU,3.727241184372058,2.680686662748262,0.8667177805617481
KAN_MLP,2.6322062471190018,1.8607085541564146,0.9335282588677555
