sigma,KAN_MSE,MLP_MSE
0.0,0.010951539501547813,0.010540670715272427
0.1,0.016210215166211128,0.01602541282773018
0.3,0.05033199489116669,0.05264667794108391
0.5,0.10048631578683853,0.10684899240732193
1.0,0.2689073383808136,0.31866195797920227
