unit,knot_0,knot_1,knot_2,knot_3,knot_4,knot_5,knot_6,knot_7,knot_8,knot_9,knot_10,knot_11,knot_12,knot_13,knot_14,knot_15,knot_16,knot_17,knot_18,knot_19,knot_20
0,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.977517,-0.700423,-0.334659,0.063376,0.238304,0.634007,0.940002,1.163667,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
1,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.865419,-0.677697,-0.251634,0.095105,0.222131,0.558851,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
2,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.587526,-0.314153,0.039360,0.293032,0.585303,0.893995,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
3,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.263852,0.066664,0.215318,0.667465,0.868434,1.188250,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
4,-3.000000,-2.700000,-2.394848,-2.089061,-1.777232,-1.416643,-1.298874,-0.992740,-0.668864,-0.343845,0.014230,0.365998,0.683306,1.008181,1.124592,1.458393,1.786181,2.091516,2.400000,2.700000,3.000000
5,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.867139,-0.506873,-0.403106,-0.088408,0.264559,0.618065,0.961669,1.309797,1.429802,1.778892,2.100000,2.400000,2.700000,3.000000
6,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.689432,-0.320297,0.036204,0.267165,0.696154,0.958297,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
7,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.740618,-0.310767,0.029477,0.269598,0.582840,0.932037,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
8,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.888789,-0.576741,-0.354018,0.072992,0.271035,0.581111,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
9,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.874196,-0.520234,-0.421183,-0.046795,0.320604,0.683453,0.847508,1.182799,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
10,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.501274,-0.315848,-0.055471,0.334518,0.543643,0.865060,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
11,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.293997,-0.006337,0.244429,0.654860,0.955214,1.187247,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
12,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.192155,-0.882657,-0.668977,-0.283525,0.073458,0.237587,0.577062,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
13,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.632759,-0.335654,0.083186,0.223988,0.631836,0.903116,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
14,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600774,-0.356491,0.079697,0.251587,0.568662,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
15,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.229467,-0.072432,0.355882,0.664653,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
16,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.481021,-1.122727,-1.018075,-0.663336,-0.329128,0.047619,0.394430,0.498263,0.874358,1.188593,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
17,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.887868,-0.568989,-0.387313,0.068849,0.291586,0.592365,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
18,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.881403,-0.614093,-0.381693,0.093375,0.303206,0.603355,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
19,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.946548,-0.690505,-0.300219,0.064269,0.228610,0.668759,0.977207,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
20,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.593994,-0.302911,-0.021286,0.316843,0.593503,0.893995,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
21,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.586662,-0.293461,-0.044966,0.319709,0.588986,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
22,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.584512,-0.237626,-0.079110,0.372282,0.548421,0.876543,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
23,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.892163,-0.584816,-0.311022,0.029355,0.275945,0.583849,0.887605,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
24,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.490673,-1.174542,-0.819086,-0.691011,-0.347100,0.041635,0.366415,0.698843,0.800933,1.176688,1.494886,1.800000,2.100000,2.400000,2.700000,3.000000
25,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.256386,-0.984348,-0.559557,-0.355395,0.052977,0.402540,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
26,-3.000000,-2.700000,-2.400000,-2.100000,-1.787757,-1.464493,-1.129559,-0.979120,-0.661337,-0.317949,0.048925,0.386316,0.551306,0.874993,1.187731,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
27,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.181703,-0.888967,-0.648685,-0.278925,0.078673,0.264950,0.590299,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
28,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.893995,-0.598994,-0.308200,0.022052,0.294313,0.593994,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
29,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.850546,-0.655641,-0.306156,0.061313,0.259936,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
30,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.678613,-0.453054,0.048183,0.267035,0.574873,0.972053,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
31,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.635131,-0.331974,0.099211,0.220156,0.646414,0.935234,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
