fraction,KAN_MSE,MLP_MSE
0.1,0.2720489203929901,0.2232726514339447
0.2,0.14233742654323578,0.14023560285568237
0.5,0.09040165692567825,0.11763892322778702
1.0,0.020069405436515808,0.05015027895569801
